Mouser OR Mfr. # (Input),Customer #,Mouser Part Number,Mfr Part Number,Manufacturer Name,Description,Min,Mult,Availability,Package Type,-----,Unit Price 1,Extended Price 1,Qty. 2,Qty. 1,Extended Price 2,Qty. 3,Price 3,Extended Price 3,Lead Time in Days,Lead Time in Weeks,Lifecycle,Pb Free,RoHS,Package Quantity,NCNR,Datasheet URL
80-C927U222MYWDBAP,,80-C927U222MYWDBAP,C927U222MYWDBA7317,KEMET,Safety Capacitors Safety Capacitors 400/250V 2200pF Y5U 20% LS=7.5mm,1,1,"18,970",AMMO PACK,5,$0.34 ,$1.68 ,,3,,,,,175,25,,Yes,Yes,"1,000",No,https://www.mouser.com/datasheet/2/212/KEM_C1064_X1_400_VAC_Y2_250_VAC-1769942.pdf
710-890324025039CS,,710-890324025039CS,890324025039CS,Wurth Elektronik,Safety Capacitors Safety Capacitors WCAP-FTX2 4mm Lead 0.47uF 10% 275VAC,1,1,"4,711",BULK,5,$0.69 ,$3.45 ,,3,,,,,196,28,,Yes,Yes,"1,024",No,https://www.mouser.com/datasheet/2/445/1/890324025039CS-3102145.pdf
80-ESE475M400AH9AA,,80-ESE475M400AH9AA,ESE475M400AH9AA,KEMET,Aluminum Electrolytic Capacitors - Radial Leaded Aluminum Electrolytic Capacitors - Radial Leaded 400V 4.7uF 20% 1000Hrs,1,1,"2,191",BULK,20,$0.32 ,$6.36 ,,12,,,,,182,26,,Yes,Yes,200,No,https://www.mouser.com/datasheet/2/212/KEM_A4055_ESE-1140496.pdf
603-CC126JKNPOCBN680,,603-CC126JKNPOCBN680,CC1206JKNPOCBN680,YAGEO,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 1k V 68 pF C0G 1206 5%,1,1,"3,760",REEL,5,$0.25 ,$1.27 ,,3,,,,,98,14,,Yes,Yes,"3,000",No,https://www.mouser.com/datasheet/2/447/UPY_NP0X5R_01005_4V_to_25V_V10-3003057.pdf
187-CL21A226MAYNNNE,,187-CL21A226MAYNNNE,CL21A226MAYNNNE,Samsung Electro-Mechanics,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF+/-20% 25V X5R 2 0805,1,1,"582,435",REEL,5,$0.26 ,$1.32 ,,3,,,,,138,20,,No,Yes,"2,000",No,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf
77-VJ0603Y182KXACBC,,77-VJ0603Y182KXACBC,VJ0603Y182KXACW1BC,Vishay,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1800pF 50volts X7R 10%,1,1,"3,548",REEL,5,$0.10 ,$0.51 ,,3,,,,,147,21,,Yes,Yes,"4,000",No,https://www.vishay.com/doc?28548
810-CGA5L4X7T2W104MA,,810-CGA5L4X7T2W104MA,CGA5L4X7T2W104M160AA,TDK,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT CGA 1206 450V 0.1uF X7T 20% AEC-Q200,1,1,"2,965",REEL,5,$0.75 ,$3.76 ,,3,,,,,101,15,,Yes,Yes,"2,000",No,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf?ref_disty=mouser
80-T491A105K010AT,,80-T491A105K010AT,T491A105K010AT,KEMET,Tantalum Capacitors - Solid SMD Tantalum Capacitors - Solid SMD 10v 1uF 1206 10% ESR=10Ohms,1,1,"29,974",REEL,10,$0.23 ,$2.33 ,,6,,,,,98,14,,Yes,Yes,"2,000",No,https://www.mouser.com/datasheet/2/212/1/KEM_T2005_T491-1093550.pdf
80-ESY277M050AH4AA,,80-ESY277M050AH4AA,ESY277M050AH4AA,KEMET,Aluminum Electrolytic Capacitors - Radial Leaded Aluminum Electrolytic Capacitors - Radial Leaded 50V 270uF 105C 4k Hour Radial,1,1,"6,260",BULK,10,$0.50 ,$5.04 ,,6,,,,,199,29,,Yes,Yes,"2,400",No,https://www.mouser.com/datasheet/2/212/KEM_A4007_ESY-1103537.pdf
80-C0805C684K5RAUTO7,,80-C0805C684K5RAUTO7,C0805C684K5RACAUTO7210,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.68uF X7R 0805 10% AEC-Q200,1,1,"47,020",REEL,5,$0.36 ,$1.78 ,,3,,,,,84,12,New Product,Yes,Yes,"10,000",No,https://www.mouser.com/datasheet/2/212/KEM_C1023_X7R_AUTO_SMD-1093309.pdf
80-C0603C102K1RLR,,80-C0603C102K1RLR,C0603C102K1RAC7411,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 1000pF X7R 0603 10%,1,1,"35,535",REEL,10,$0.03 ,$0.31 ,,6,,,,,98,14,,Yes,Yes,"15,000",No,https://www.mouser.com/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf
187-CL10B474KO8NNND,,187-CL10B474KO8NNND,CL10B474KO8NNND,Samsung Electro-Mechanics,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 470nF+/-10% 16V X7R 0603,1,1,"41,143",REEL,5,$0.10 ,$0.51 ,,3,,,,,,,,No,Yes,"10,000",No,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf
187-CL10A106KP8NNWC,,187-CL10A106KP8NNWC,CL10A106KP8NNWC,Samsung Electro-Mechanics,"Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT X5R, 10uF, +/-10%, 10v, 0603",1,1,"220,640",REEL,10,$0.09 ,$0.94 ,,6,,,,,98,14,New Product,No,Yes,"4,000",No,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf
