x,y,layer1,layer2,voltage1,voltage2,current
62.7839,1152.22,TOP_LAYER,BOTTOM_LAYER,0.108101,0.108217,-0.0345072
62.7839,1172.22,TOP_LAYER,BOTTOM_LAYER,0.108101,0.108168,-0.0198217
62.7839,1192.22,TOP_LAYER,BOTTOM_LAYER,0.108101,0.108168,-0.0198217
62.7839,1212.22,TOP_LAYER,BOTTOM_LAYER,0.108017,0.108124,-0.0321492
77.8844,3184.8,TOP_LAYER,BOTTOM_LAYER,0.111358,0.111358,9.19941e-07
92.7839,1152.22,TOP_LAYER,BOTTOM_LAYER,0.108101,0.108235,-0.0398916
92.7839,1172.22,TOP_LAYER,BOTTOM_LAYER,0.108101,0.108184,-0.0247748
92.7839,1192.22,TOP_LAYER,BOTTOM_LAYER,0.108101,0.108184,-0.0247748
92.7839,1212.22,TOP_LAYER,BOTTOM_LAYER,0.108017,0.108142,-0.037461
101.209,95.6413,TOP_LAYER,BOTTOM_LAYER,0.104447,0.10454,-0.0278184
101.209,292.492,TOP_LAYER,BOTTOM_LAYER,0.103712,0.10391,-0.0589012
101.209,489.342,TOP_LAYER,BOTTOM_LAYER,0.101918,0.102502,-0.174626
101.209,1867.29,TOP_LAYER,BOTTOM_LAYER,0.106189,0.106301,-0.0334723
101.209,1965.72,TOP_LAYER,BOTTOM_LAYER,0.105748,0.105926,-0.0531208
101.209,2064.15,TOP_LAYER,BOTTOM_LAYER,0.105279,0.105233,0.0138156
101.209,2162.57,TOP_LAYER,BOTTOM_LAYER,0.104327,0.1046,-0.0815835
101.209,2261,TOP_LAYER,BOTTOM_LAYER,0.103456,0.103558,-0.0306289
101.209,2359.42,TOP_LAYER,BOTTOM_LAYER,0.102589,0.103192,-0.180362
102.68,3124.94,TOP_LAYER,BOTTOM_LAYER,0.111358,0.111358,2.57927e-06
102.68,3244.66,TOP_LAYER,BOTTOM_LAYER,0.111358,0.111358,5.37753e-07
122.784,1152.22,TOP_LAYER,BOTTOM_LAYER,0.108101,0.108273,-0.051303
122.784,1172.22,TOP_LAYER,BOTTOM_LAYER,0.108101,0.108222,-0.0360624
122.784,1192.22,TOP_LAYER,BOTTOM_LAYER,0.108101,0.108222,-0.0360624
122.784,1212.22,TOP_LAYER,BOTTOM_LAYER,0.108017,0.10818,-0.0487683
150.422,194.067,TOP_LAYER,BOTTOM_LAYER,0.104206,0.104333,-0.0379132
150.422,390.917,TOP_LAYER,BOTTOM_LAYER,0.102886,0.103231,-0.103135
150.422,1867.29,TOP_LAYER,BOTTOM_LAYER,0.10625,0.106344,-0.0282181
150.422,1965.72,TOP_LAYER,BOTTOM_LAYER,0.105835,0.105984,-0.0446679
150.422,2064.15,TOP_LAYER,BOTTOM_LAYER,0.105377,0.105305,0.0215686
150.422,2162.57,TOP_LAYER,BOTTOM_LAYER,0.104398,0.104653,-0.0763393
150.422,2261,TOP_LAYER,BOTTOM_LAYER,0.103307,0.103043,0.0789212
162.53,3100.15,TOP_LAYER,BOTTOM_LAYER,0.111358,0.111358,1.42289e-06
200.113,3147.22,TOP_LAYER,BOTTOM_LAYER,0.111358,0.111358,-7.91268e-07
162.53,3269.45,TOP_LAYER,BOTTOM_LAYER,0.111358,0.111358,-2.40402e-07
194.531,575.118,TOP_LAYER,BOTTOM_LAYER,0.0980771,0.10007,-4.17807
194.531,771.969,TOP_LAYER,BOTTOM_LAYER,33.8881,33.8863,3.80879
194.531,2306.97,TOP_LAYER,BOTTOM_LAYER,0.1,0.102089,-4.37962
194.531,2503.82,TOP_LAYER,BOTTOM_LAYER,33.89,33.8882,3.74531
199.634,95.6413,TOP_LAYER,BOTTOM_LAYER,0.104778,0.104853,-0.0225378
199.634,292.492,TOP_LAYER,BOTTOM_LAYER,0.104164,0.104296,-0.0392885
199.634,489.342,TOP_LAYER,BOTTOM_LAYER,0.102055,0.102707,-0.195036
