refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,33.89,10,0.01
VCOMP0,VCOMP0-1,0.1,-10,0.01
VCOMP2,VCOMP2-0,33.8881,10,0.01
VCOMP2,VCOMP2-1,0.0980771,-10,0.01
VCOMP1,VCOMP1-0,33.6203,-10,0.01
VCOMP1,VCOMP1-1,0.261524,10,0.01
VCOMP3,VCOMP3-0,33.6159,-10,0.01
VCOMP3,VCOMP3-1,0.415091,10,0.01
VCOMP4,VCOMP4-0,33.881,-10,0.0025
VCOMP4,VCOMP4-1,33.831,10,0.0025
VCOMP5,VCOMP5-0,33.8144,-10,0.0025
VCOMP5,VCOMP5-1,33.7644,10,0.0025
VCOMP6,VCOMP6-0,33.7086,-10,0.0025
VCOMP6,VCOMP6-1,33.6586,10,0.0025
VCOMP7,VCOMP7-0,0.120087,10,0.0075
VCOMP7,VCOMP7-1,0.120097,-10,0.0075
VCOMP8,VCOMP8-0,0.141463,10,0.0025
VCOMP8,VCOMP8-1,0.191473,-10,0.0025
VCOMP9,VCOMP9-0,0.122169,10,0.0075
VCOMP9,VCOMP9-1,0.272179,-10,0.0075
VCOMP10,VCOMP10-0,0.293623,10,0.0025
VCOMP10,VCOMP10-1,0.343633,-10,0.0025
VCOMP11,VCOMP11-0,33.8796,-10,0.0025
VCOMP11,VCOMP11-1,33.8296,10,0.0025
VCOMP12,VCOMP12-0,33.813,-10,0.0025
VCOMP12,VCOMP12-1,33.763,10,0.0025
VCOMP13,VCOMP13-0,33.7072,-10,0.0025
VCOMP13,VCOMP13-1,33.6571,10,0.0025
